non-aja NARAVU.DAT for ZLOGCG.EXE
00         2000年・平成12年
01         2001年・平成13年
02         2002年・平成14年
03         2003年・平成15年
04         2004年・平成16年
05         2005年・平成17年
06         2006年・平成18年
07         2007年・平成19年
08         2008年・平成20年
09         2009年・平成21年
10         2010年・平成22年
11         2011年・平成23年
12         2012年・平成24年
13         2013年・平成25年
14         2014年・平成26年
15         2015年・平成27年
16         2016年・平成28年
17         2017年・平成29年
18         2018年・平成30年
19         19年
20         20年
21         21年
22         22年
23         23年
24         24年
25         25年
26         26年
27         27年
28         28年
29         29年
30         30年
31         31年
32         32年
33         33年
34         34年
35         35年
36         36年
37         37年
38         38年
39         39年
40         40年
41         41年
42         42年
43         43年
44         44年
45         45年
46         46年
47         47年
48         48年
49         49年
50         50年
51         51年
52         1952年・昭和27年
53         1953年・昭和28年
54         1954年・昭和29年
55         1955年・昭和30年
56         1956年・昭和31年
57         1957年・昭和32年
58         1958年・昭和33年
59         1959年・昭和34年
60         1960年・昭和35年
61         1961年・昭和36年
62         1962年・昭和37年
63         1963年・昭和38年
64         1964年・昭和39年
65         1965年・昭和40年
66         1966年・昭和41年
67         1967年・昭和42年
68         1968年・昭和43年
69         1969年・昭和44年
70         1970年・昭和45年
71         1971年・昭和46年
72         1972年・昭和47年
73         1973年・昭和48年
74         1974年・昭和49年
75         1975年・昭和50年
76         1976年・昭和51年
77         1977年・昭和52年
78         1978年・昭和53年
79         1979年・昭和54年
80         1980年・昭和55年
81         1981年・昭和56年
82         1982年・昭和57年
83         1983年・昭和58年
84         1984年・昭和59年
85         1985年・昭和60年
86         1986年・昭和61年
87         1987年・昭和62年
88         1988年・昭和63年
89         1989年・昭和64年・平成元年
90         1990年・平成2年
91         1991年・平成3年
92         1992年・平成4年
93         1993年・平成5年
94         1994年・平成6年
95         1995年・平成7年
96         1996年・平成8年
97         1997年・平成9年
98         1998年・平成10年
99         1999年・平成11年
end of file naravu.dat
