arrlsec.dat  ARRL sections data for ARRL160 etc
CT,CN,CON        Connecticut
EMA,EM           Eastern Massachusetts
ME,MAI           Maine
NH               New Hampshire
RI               Rhode Island
VT               Vermont
WMA              Western Massachusetts
ENY,EN           Eastern New York
NLI,NY           New York City - Long Island
NNJ,NJ           Northern New Jersey
NNY              Northern New York
SNJ,SN           Southern New Jersey
WNY              Western New York
DE,DL            Delaware
EPA,EP           Eastern Pennsylvania
MDC,MD,DC        Maryland - DC
WPA,WP           Western Pensylvania
AL               Alabama
GA               Georgia
KY,KTY           Kentucky
NC               North Carolina
NFL              Northern Florida
SC               South Carolina
SFL              Southern Florida
TN,TEN           Tennessee
VA               Virginia
WCF,WF,WFL       West Central Florida
PR,KP4           Puerto Rico
VI,KP2,KV4       Virgin Islands
AR               Arkansas
LA,LOU           Louisiana
MS,MIS           Mississippi
NM               New Mexico
NTX,NT           North Texas
OK               Oklahoma
STX,ST           South Texas
WTX,WT           West Texas
EB               East Bay
LAX              Los Angeles
ORG,ORA          Orange
SB               Santa Barbara
SCV              Santa Clara Valley
SDG              San Diego 
SF,SANF          San Francisco
SJV,SANJ         San Joaquin Valley
SV,SAC           Sacramento Valley
PAC,HAW,HI,GU    Pacific
AZ,ARI           Arizona
EWA,EW           Eastern Washington
ID               Idaho
MT,MON           Montana
NV,NEV           Nevada
OR               Oregon
UT               Utah
WWA              Western Washington
WY               Wyoming
AK,KL7           Alaska
MI               Michigan
OH               Ohio
WV               West Virginia
IL               Illinois
IN               Indiana
WI,WS            Wisconsin
CO               Colorado
IA,IO            Iowa
KS,KA            Kansas
MN,MIN           Minnesota
MO               Missouri
NE               Nebraska
ND               North Dakota
SD               South Dakota
MAR,NB,NS,PEI,VE1,VE9,VY2   Maritime
NL,NEWF,LAB,VO1,VO2         Newfoundland / Labrador
QC,PQ,QU,VE2                Quebec
ON,VE3                      Ontario
MB,MAN,VE4                  Manitoba
SK,SA,VE5                   Saskatchewan
AB,ALB,AB,VE6               Alberta
BC,VE7                      British Columbia
NWT,YT,YU,NW,VE8,VY1        Northwest Territories / Yukon
end of file
