non-aja NARA.DAT for ZLOGCG.EXE
00         0年
01         1年
02         2年
03         3年
04         4年
05         5年
06         6年
07         7年
08         8年
09         9年
10         10年
11         11年
12         12年
13         13年
14         14年
15         15年
16         16年
17         17年
18         18年
19         19年
20         20年
21         21年
22         22年
23         23年
24         24年
25         25年
26         26年
27         27年
28         28年
29         29年
30         30年
31         31年
32         32年
33         33年
34         34年
35         35年
36         36年
37         37年
38         38年
39         39年
40         40年
41         41年
42         42年
43         43年
44         44年
45         45年
46         46年
47         47年
48         48年
49         49年
50         50年
51         51年
52         52年
53         53年
54         54年
55         55年
56         56年
57         57年
58         58年
59         59年
60         60年
61         61年
62         62年
63         63年
64         64年
65         65年
66         66年
67         67年
68         68年
69         69年
70         70年
71         71年
72         72年
73         73年
74         74年
75         75年
76         76年
77         77年
78         78年
79         79年
80         80年
81         81年
82         82年
83         83年
84         84年
85         85年
86         86年
87         87年
88         88年
89         89年
90         90年
91         91年
92         92年
93         93年
94         94年
95         95年
96         96年
97         97年
98         98年
99         99年
end of file nara.dat
